厑 aesi
丷 ba
瓸 bai
藵 bao
禙 bei
揼 beng
萞 bi
㺍 bian
飊 biao
鋲 bing
袰 bo
錻 bu
兺 bun
毝 cai
儏 can
濸 cang
䇲 ce
硳 ceok
猠 ceon
蟐 chan
鯎 cheng
䌷 chou
䝙 chu
䲠 chun
茐 cong
橻 cu
窽 cuan
乼 cui
燵 da
鮘 dai
褝 dan
螩 dao
艠 deng
鯳 di
椣 dian
簓 diao
幉 die
聢 ding
鶫 dong
乧 dou
獤 dun
畓 duo
鵈 e
旕 eos
趰 er
鍅 fa
鐢 fan
堏 fang
暃 fei
躮 fen
鎽 feng
梻 fo
鮲 fu
㭎 gang
櫊 ge
焿 geng
怾 gi
䂵 gong
逧 gu
䯄 gua
欟 guan
櫷 gui
㳡 guo
乤 ha
嚡 hai
爳 han
裄 hang
毜 hao
靍 he
涥 heng
乥 ho
溄 hong
叾 hongkong
鯱 hu
誮 hua
垳 huang
璤 hui
尡 hun
煷 huo
樭 ji
糘 jia
㭴 jian
櫤 jiang
䴔 jiao
杢 jie
釒 jin
橸 jing
汣 jiu
襷 ju
椦 juan
裃 ka
桛 kasei
迲 keop
唟 keos
厼 keum
躻 kong
乲 korean
廤 ku
舿 kua
圦 kuai
鑧 kuan
潉 kun
韕 kuo
穒 kweok
躼 lao
鱩 lei
唥 leng
甅 li
瀮 lian
藔 liao
毟 lie
冧 lin
蓤 ling
桞 liu
乥 lo
䁖 lou
焒 lu
磮 lun
囖 luo
遤 ma
蘰 man
匁 mangmi
瓱 mao
嚒 me
旀 mei
椚 men
擝 meng
袮 mi
杣 mian
笽 min
掵 ming
魹 mo
踎 mou
凩 mu
丆 myeone
椧 myeong
遖 nan
氞 nei
莻 neus
聣 ni
焾 nian
脌 nin
澝 ning
燶 nong
夞 oes
鵥 pan
褜 pao
蓜 pei
蘕 peng
巼 phas
闏 phdeng
喸 phos
魸 pian
岼 ping
哛 po
贌 pu
㶉 qi
峠 qia
鎆 qian
獇 qiang
櫵 qiao
苆 qie
鈫 qin
櫦 qing
䲡 qiu
煀 qu
楾 quan
䲠 qun
罖 ra
囕 ramo
蒅 ran
躵 ren
穃 rong
扖 ru
嵶 ruo
栍 saeng
嘥 sai
虄 sal
毶 san
槡 sang
螦 sao
閪 se
縇 seon
毮 sha
閊 shan
贘 shang
榊 shen
橳 sheng
鰘 shi
鱰 shu
鏯 shuang
銯 si
侤 ta
襨 tae
㓥 tang
虅 teng
朰 teul
䴘 ti
鴫 tian
汢 tu
瓲 tun
闧 u
甅 wa
㖞 wai
笂 wan
縅 wei
鎾 wen
攚 weng
